00000050;00000051;5013357;61074829000123;T00006;2012-09-17;1;5000.00;0;   ;
00000050;00000051;5013357;61074829000123;T00003;2012-09-17;1;5000.00;0;   ;
00000050;00000051;5013357;61074829000123;T00002;2012-09-17;1;10000.00;0;   ;
00000050;00000051;5013357;92755024000179;T00006;2012-09-17;1;75000.00;1;   ;
00000050;00000051;5013357;61074829000123;T00007;2012-09-17;1;60000.00;0;   ;
00000048;00000049;5013097;61074829000123;T00007;2012-09-17;1;7500.00;0;   ;
00000048;00000049;5013097;61074829000123;T00001;2012-09-17;1;10000.00;0;   ;
00000048;00000049;5013097;61074829000123;T00006;2012-09-17;1;75000.00;0;   ;
00000048;00000049;5013096;92755024000179;T00005;2012-09-17;1;50000.00;1;   ;
00000031;00000041;5011547;08534605000174;T00001;2012-09-17;1;5000.00;0;   ;
